segmento;clientes;ventas;participacion_ventas;frecuencia_promedio;ticket_promedio;recencia_promedio;productos_promedio
Clientes estrategicos;289;20054472.9669356;98.6306703841526;176.048442906574;357.059952999204;6.21107266435986;263.363321799308
Clientes por reactivar;235;278424.385202677;1.36932961584738;25.2595744680851;66.2715509505887;39.2595744680851;33.1702127659574
