modelo;ventanas;observaciones;MAE;RMSE;WAPE;seleccionado
Promedio reciente por dia;4;112;5867.47018758947;8568.89209974703;0.063670765447668;TRUE
Naive semanal;4;112;6664.43354117471;9510.50616998623;0.0723190014223206;FALSE
Regresion logaritmica;4;112;8566.99078434193;11760.3638212344;0.0929645730413609;FALSE
